,order_number,quantity_ordered,price_each,order_line_number,sales,order_date,days_since_lastorder,status,product_line,msrp,product_code,customer_name,city,country,deal_size,contact_fullname
15,10309,41,107.18,5,4394.38,2019-10-15,245,Shipped,Motorcycles,95,S10_1678,Baane Mini Imports,Stavern,Norway,Medium,Jonas Bergulfsen
16,10318,46,94.74,1,4358.04,2019-11-02,228,Shipped,Motorcycles,95,S10_1678,Diecast Classics Inc.,Allentown,USA,Medium,Kyung Yu
17,10329,42,104.67,1,4396.14,2019-11-15,216,Shipped,Motorcycles,95,S10_1678,Land of Toys Inc.,NYC,USA,Medium,Kwai Yu
18,10341,41,188.73,9,7737.93,2019-11-24,208,Shipped,Motorcycles,95,S10_1678,Salzburg Collectables,Salzburg,Austria,Large,Georg Pipps
19,10361,20,72.55,13,1451.0,2019-12-17,186,Shipped,Motorcycles,95,S10_1678,Souveniers And Things Co.,Chatswood,Australia,Small,Adrian Huxley
20,10375,21,34.91,12,733.11,2020-02-03,139,Shipped,Motorcycles,95,S10_1678,La Rochelle Gifts,Nantes,France,Small,Janine Labrune
21,10388,42,76.36,4,3207.12,2020-03-03,111,Shipped,Motorcycles,95,S10_1678,FunGiftIdeas.com,New Bedford,USA,Medium,Violeta Benitez
22,10403,24,101.44,7,2434.56,2020-04-08,76,Shipped,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",Liverpool,UK,Small,Elizabeth Devon
23,10417,66,113.88,2,7516.08,2020-05-13,42,Disputed,Motorcycles,95,S10_1678,Euro Shopping Channel,Madrid,Spain,Large,Diego Freyre
24,10103,26,207.87,11,5404.62,2018-01-29,878,Shipped,Classic Cars,214,S10_1949,Baane Mini Imports,Stavern,Norway,Medium,Jonas Bergulfsen
25,10112,29,248.59,1,7209.11,2018-03-24,825,Shipped,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",Lule,Sweden,Large,Christina Berglund
26,10126,38,192.87,11,7329.06,2018-05-28,761,Shipped,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",Madrid,Spain,Large,Mart¡n Sommer
27,10140,37,199.3,11,7374.1,2018-07-24,705,Shipped,Classic Cars,214,S10_1949,Technics Stores Inc.,Burlingame,USA,Large,Juri Hirano
28,10150,45,244.3,8,10993.5,2018-09-19,649,Shipped,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",Singapore,Singapore,Large,Eric Natividad
29,10163,21,231.44,1,4860.24,2018-10-20,619,Shipped,Classic Cars,214,S10_1949,Classic Legends Inc.,NYC,USA,Medium,Maria Hernandez
30,10174,34,235.73,4,8014.82,2018-11-06,603,Shipped,Classic Cars,214,S10_1949,"Australian Gift Network, Co",South Brisbane,Australia,Large,Tony Calaghan
31,10183,23,233.59,8,5372.57,2018-11-13,597,Shipped,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",Philadelphia,USA,Medium,Francisca Cervantes
32,10194,42,173.58,11,7290.36,2018-11-25,586,Shipped,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",Lyon,France,Large,Mary Saveley
33,10206,47,192.87,6,9064.89,2018-12-05,577,Shipped,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,Vancouver,Canada,Large,Yoshi Tannamuri
34,10215,35,173.58,3,6075.3,2019-01-29,523,Shipped,Classic Cars,214,S10_1949,West Coast Collectables Co.,Burbank,USA,Medium,Steve Thompson
35,10228,29,222.87,2,6463.23,2019-03-10,484,Shipped,Classic Cars,214,S10_1949,Cambridge Collectables Co.,Cambridge,USA,Medium,Kyung Tseng
36,10245,34,180.01,9,6120.34,2019-05-04,430,Shipped,Classic Cars,214,S10_1949,Super Scale Inc.,New Haven,USA,Medium,Leslie Murphy
37,10258,32,240.02,6,7680.64,2019-06-15,389,Shipped,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",Minato-ku,Japan,Large,Akiko Shimamura
38,10270,21,233.59,9,4905.39,2019-07-19,356,Shipped,Classic Cars,214,S10_1949,Souveniers And Things Co.,Chatswood,Australia,Medium,Adrian Huxley
39,10280,34,235.73,2,8014.82,2019-08-17,328,Shipped,Classic Cars,214,S10_1949,Amica Models & Co.,Torino,Italy,Large,Paolo Accorti
40,10291,37,192.87,11,7136.19,2019-09-08,307,Shipped,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,Boras,Sweden,Large,Maria Larsson
41,10304,47,216.44,6,10172.7,2019-10-11,275,Shipped,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,Versailles,France,Large,Daniel Tonini
42,10312,48,242.16,3,11623.7,2019-10-21,266,Shipped,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,USA,Large,Valarie Nelson
43,10322,40,150.01,1,6000.4,2019-11-04,253,Shipped,Classic Cars,214,S10_1949,Online Diecast Creations Co.,Nashua,USA,Medium,Valarie Young
44,10347,30,131.49,1,3944.7,2019-11-29,229,Shipped,Classic Cars,214,S10_1949,"Australian Collectors, Co.",Melbourne,Australia,Medium,Peter Ferguson
45,10357,32,177.87,10,5691.84,2019-12-10,219,Shipped,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium,Valarie Nelson
46,10369,41,110.12,2,4514.92,2020-01-20,179,Shipped,Classic Cars,214,S10_1949,Collectables For Less Inc.,Brickhaven,USA,Medium,Allen Nelson
47,10391,24,100.69,4,2416.56,2020-03-09,131,Shipped,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",North Sydney,Australia,Small,Anna O'Hara
48,10411,23,180.01,9,4140.23,2020-05-01,79,Shipped,Classic Cars,214,S10_1949,Quebec Home Shopping Network,Montreal,Canada,Medium,Jean Fresnisre
49,10424,50,240.02,6,12001.0,2020-05-31,50,In Process,Classic Cars,214,S10_1949,Euro Shopping Channel,Madrid,Spain,Large,Diego Freyre
50,10107,39,99.91,5,3896.49,2018-02-24,878,Shipped,Motorcycles,118,S10_2016,Land of Toys Inc.,NYC,USA,Medium,Kwai Yu
51,10120,29,96.34,3,2793.86,2018-04-29,815,Shipped,Motorcycles,118,S10_2016,"Australian Collectors, Co.",Melbourne,Australia,Small,Peter Ferguson
52,10134,27,122.51,5,3307.77,2018-07-01,753,Shipped,Motorcycles,118,S10_2016,Lyon Souveniers,Paris,France,Medium,Daniel Da Cunha
53,10145,37,140.35,9,5192.95,2018-08-25,699,Shipped,Motorcycles,118,S10_2016,Toys4GrownUps.com,Pasadena,USA,Medium,Julie Young
54,10168,27,135.59,4,3660.93,2018-10-28,636,Shipped,Motorcycles,118,S10_2016,Technics Stores Inc.,Burlingame,USA,Medium,Juri Hirano
55,10180,42,111.8,12,4695.6,2018-11-11,623,Shipped,Motorcycles,118,S10_2016,Daedalus Designs Imports,Lille,France,Medium,Martine Rance
56,10188,38,96.34,4,3660.92,2018-11-18,617,Shipped,Motorcycles,118,S10_2016,Herkku Gifts,Bergen,Norway,Medium,Veysel Oeztan
57,10210,23,130.83,2,3009.09,2019-01-12,563,Shipped,Motorcycles,118,S10_2016,Osaka Souveniers Co.,Osaka,Japan,Medium,Mory Kentary
58,10223,47,115.37,4,5422.39,2019-02-20,525,Shipped,Motorcycles,118,S10_2016,"Australian Collectors, Co.",Melbourne,Australia,Medium,Peter Ferguson
59,10236,22,129.64,1,2852.08,2019-04-03,484,Shipped,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,Philadelphia,USA,Small,Rosa Hernandez
60,10251,44,130.83,5,5756.52,2019-05-18,440,Shipped,Motorcycles,118,S10_2016,Tekni Collectables Inc.,Newark,USA,Medium,William Brown
61,10263,40,111.8,5,4472.0,2019-06-28,400,Shipped,Motorcycles,118,S10_2016,Gift Depot Inc.,Bridgewater,USA,Medium,Julie King
62,10275,22,132.02,4,2904.44,2019-07-23,376,Shipped,Motorcycles,118,S10_2016,La Rochelle Gifts,Nantes,France,Small,Janine Labrune
63,10285,47,137.97,9,6484.59,2019-08-27,342,Shipped,Motorcycles,118,S10_2016,Marta's Replicas Co.,Cambridge,USA,Medium,Marta Hernandez
64,10298,39,96.34,1,3757.26,2019-09-27,312,Shipped,Motorcycles,118,S10_2016,Atelier graphique,Nantes,France,Medium,Carine Schmitt
65,10308,34,118.94,2,4043.96,2019-10-15,295,Shipped,Motorcycles,118,S10_2016,Mini Classics,White Plains,USA,Medium,Steve Frick
66,10318,45,123.7,4,5566.5,2019-11-02,278,Shipped,Motorcycles,118,S10_2016,Diecast Classics Inc.,Allentown,USA,Medium,Kyung Yu
67,10329,20,158.8,2,3176.0,2019-11-15,266,Shipped,Motorcycles,118,S10_2016,Land of Toys Inc.,NYC,USA,Medium,Kwai Yu
68,10339,40,68.92,4,2756.8,2019-11-23,259,Shipped,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",Minato-ku,Japan,Small,Akiko Shimamura
69,10361,26,51.15,8,1329.9,2019-12-17,236,Shipped,Motorcycles,118,S10_2016,Souveniers And Things Co.,Chatswood,Australia,Small,Adrian Huxley
70,10374,39,135.59,5,5288.01,2020-02-02,190,Shipped,Motorcycles,118,S10_2016,"Australian Gift Network, Co",South Brisbane,Australia,Medium,Tony Calaghan
71,10388,50,44.51,5,2225.5,2020-03-03,161,Shipped,Motorcycles,118,S10_2016,FunGiftIdeas.com,New Bedford,USA,Small,Violeta Benitez
72,10402,45,129.64,1,5833.8,2020-04-07,127,Shipped,Motorcycles,118,S10_2016,Auto Canal Petit,Paris,France,Medium,Dominique Perrier
73,10417,45,130.83,5,5887.35,2020-05-13,92,Disputed,Motorcycles,118,S10_2016,Euro Shopping Channel,Madrid,Spain,Medium,Diego Freyre
74,10107,27,224.65,4,6065.55,2018-02-24,902,Shipped,Motorcycles,193,S10_4698,Land of Toys Inc.,NYC,USA,Medium,Kwai Yu
75,10120,46,201.41,2,9264.86,2018-04-29,839,Shipped,Motorcycles,193,S10_4698,"Australian Collectors, Co.",Melbourne,Australia,Large,Peter Ferguson
76,10134,31,226.58,4,7023.98,2018-07-01,777,Shipped,Motorcycles,193,S10_4698,Lyon Souveniers,Paris,France,Large,Daniel Da Cunha
77,10145,33,156.86,8,5176.38,2018-08-25,723,Shipped,Motorcycles,193,S10_4698,Toys4GrownUps.com,Pasadena,USA,Medium,Julie Young
78,10168,20,209.15,3,4183.0,2018-10-28,660,Shipped,Motorcycles,193,S10_4698,Technics Stores Inc.,Burlingame,USA,Medium,Juri Hirano
79,10180,41,216.9,11,8892.9,2018-11-11,647,Shipped,Motorcycles,193,S10_4698,Daedalus Designs Imports,Lille,France,Large,Martine Rance
80,10188,45,193.66,3,8714.7,2018-11-18,641,Shipped,Motorcycles,193,S10_4698,Herkku Gifts,Bergen,Norway,Large,Veysel Oeztan
81,10210,34,180.1,1,6123.4,2019-01-12,587,Shipped,Motorcycles,193,S10_4698,Osaka Souveniers Co.,Osaka,Japan,Medium,Mory Kentary
82,10223,49,199.47,3,9774.03,2019-02-20,549,Shipped,Motorcycles,193,S10_4698,"Australian Collectors, Co.",Melbourne,Australia,Large,Peter Ferguson
83,10237,39,180.1,9,7023.9,2019-04-05,506,Shipped,Motorcycles,193,S10_4698,Vitachrome Inc.,NYC,USA,Large,Michael Frick
84,10251,43,164.61,4,7078.23,2019-05-18,464,Shipped,Motorcycles,193,S10_4698,Tekni Collectables Inc.,Newark,USA,Large,William Brown
85,10263,41,203.34,4,8336.94,2019-06-28,424,Shipped,Motorcycles,193,S10_4698,Gift Depot Inc.,Bridgewater,USA,Large,Julie King
86,10275,36,191.72,3,6901.92,2019-07-23,400,Shipped,Motorcycles,193,S10_4698,La Rochelle Gifts,Nantes,France,Medium,Janine Labrune
87,10285,27,201.41,8,5438.07,2019-08-27,366,Shipped,Motorcycles,193,S10_4698,Marta's Replicas Co.,Cambridge,USA,Medium,Marta Hernandez
88,10299,29,230.46,11,6683.34,2019-09-30,333,Shipped,Motorcycles,193,S10_4698,"Toys of Finland, Co.",Helsinki,Finland,Medium,Matti Karttunen
89,10308,20,228.52,1,4570.4,2019-10-15,319,Shipped,Motorcycles,193,S10_4698,Mini Classics,White Plains,USA,Medium,Steve Frick
90,10318,37,207.22,3,7667.14,2019-11-02,302,Shipped,Motorcycles,193,S10_4698,Diecast Classics Inc.,Allentown,USA,Large,Kyung Yu
91,10329,26,225.7,3,5868.2,2019-11-15,290,Shipped,Motorcycles,193,S10_4698,Land of Toys Inc.,NYC,USA,Medium,Kwai Yu
92,10339,39,76.67,3,2990.13,2019-11-23,283,Shipped,Motorcycles,193,S10_4698,"Tokyo Collectables, Ltd",Minato-ku,Japan,Small,Akiko Shimamura
93,10362,22,166.55,4,3664.1,2020-01-05,241,Shipped,Motorcycles,193,S10_4698,Technics Stores Inc.,Burlingame,USA,Medium,Juri Hirano
94,10374,22,174.29,1,3834.38,2020-02-02,214,Shipped,Motorcycles,193,S10_4698,"Australian Gift Network, Co",South Brisbane,Australia,Medium,Tony Calaghan
95,10388,21,86.77,7,1822.17,2020-03-03,185,Shipped,Motorcycles,193,S10_4698,FunGiftIdeas.com,New Bedford,USA,Small,Violeta Benitez
96,10403,66,180.1,9,11886.6,2020-04-08,150,Shipped,Motorcycles,193,S10_4698,"UK Collectables, Ltd.",Liverpool,UK,Large,Elizabeth Devon
97,10417,56,164.61,4,9218.16,2020-05-13,116,Disputed,Motorcycles,193,S10_4698,Euro Shopping Channel,Madrid,Spain,Large,Diego Freyre
98,10105,50,144.16,2,7208.0,2018-02-11,939,Shipped,Classic Cars,136,S10_4757,Danish Wholesale Imports,Kobenhavn,Denmark,Large,Jytte Petersen
99,10119,46,108.8,11,5004.8,2018-04-28,864,Shipped,Classic Cars,136,S10_4757,Salzburg Collectables,Salzburg,Austria,Medium,Georg Pipps
100,10129,33,133.28,2,4398.24,2018-06-12,820,Shipped,Classic Cars,136,S10_4757,"Stylish Desk Decors, Co.",London,UK,Medium,Ann Brown
101,10143,49,114.24,15,5597.76,2018-08-10,762,Shipped,Classic Cars,136,S10_4757,Mini Creations Ltd.,New Bedford,USA,Medium,Wing C Tam
102,10155,32,141.44,13,4526.08,2018-10-06,706,Shipped,Classic Cars,136,S10_4757,"Toys of Finland, Co.",Helsinki,Finland,Medium,Matti Karttunen
103,10167,44,134.64,9,5924.16,2018-10-23,690,Cancelled,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,Boras,Sweden,Medium,Maria Larsson
104,10178,24,145.52,12,3492.48,2018-11-08,675,Shipped,Classic Cars,136,S10_4757,Alpha Cognac,Toulouse,France,Medium,Annette Roulet
105,10186,26,148.24,9,3854.24,2018-11-14,670,Shipped,Classic Cars,136,S10_4757,"Double Decker Gift Stores, Ltd",London,UK,Medium,Thomas Hardy
106,10197,45,118.32,6,5324.4,2018-11-26,659,Shipped,Classic Cars,136,S10_4757,Enaco Distributors,Barcelona,Spain,Medium,Eduardo Saavedra
107,10222,49,122.4,12,5997.6,2019-02-19,575,Shipped,Classic Cars,136,S10_4757,Collectable Mini Designs Co.,San Diego,USA,Medium,Valarie Thompson
108,10248,20,145.52,3,2910.4,2019-05-07,499,Cancelled,Classic Cars,136,S10_4757,Land of Toys Inc.,NYC,USA,Small,Kwai Yu
109,10261,27,125.12,1,3378.24,2019-06-17,459,Shipped,Classic Cars,136,S10_4757,Quebec Home Shopping Network,Montreal,Canada,Medium,Jean Fresnisre
110,10273,30,116.96,4,3508.8,2019-07-21,426,Shipped,Classic Cars,136,S10_4757,Petit Auto,Bruxelles,Belgium,Medium,Catherine Dewey
111,10283,25,119.68,6,2992.0,2019-08-20,397,Shipped,Classic Cars,136,S10_4757,"Royal Canadian Collectables, Ltd.",Tsawassen,Canada,Small,Elizabeth Lincoln
112,10295,24,142.8,1,3427.2,2019-09-10,377,Shipped,Classic Cars,136,S10_4757,Gifts4AllAges.com,Boston,USA,Medium,Juri Yoshido
113,10307,22,122.4,9,2692.8,2019-10-14,344,Shipped,Classic Cars,136,S10_4757,"Classic Gift Ideas, Inc",Philadelphia,USA,Small,Francisca Cervantes
114,10316,33,125.12,17,4128.96,2019-11-01,327,Shipped,Classic Cars,136,S10_4757,giftsbymail.co.uk,Cowes,UK,Medium,Helen Bennett
115,10325,47,64.93,6,3051.71,2019-11-05,324,Shipped,Classic Cars,136,S10_4757,Baane Mini Imports,Stavern,Norway,Medium,Jonas Bergulfsen
116,10337,25,48.05,8,1201.25,2019-11-21,309,Shipped,Classic Cars,136,S10_4757,Classic Legends Inc.,NYC,USA,Small,Maria Hernandez
117,10350,26,75.47,5,1962.22,2019-12-02,299,Shipped,Classic Cars,136,S10_4757,Euro Shopping Channel,Madrid,Spain,Small,Diego Freyre
118,10359,48,54.68,6,2624.64,2019-12-15,287,Shipped,Classic Cars,136,S10_4757,Reims Collectables,Reims,France,Small,Paul Henriot
119,10373,39,103.75,3,4046.25,2020-01-31,241,Shipped,Classic Cars,136,S10_4757,"Oulu Toy Supplies, Inc.",Oulu,Finland,Medium,Pirkko Koskitalo
120,10395,32,105.33,2,3370.56,2020-03-17,196,Shipped,Classic Cars,136,S10_4757,Lyon Souveniers,Paris,France,Medium,Daniel Da Cunha
121,10400,64,150.96,9,9661.44,2020-04-01,182,Shipped,Classic Cars,136,S10_4757,The Sharp Gifts Warehouse,San Jose,USA,Large,Sue Frick
122,10414,19,145.52,3,2764.88,2020-05-06,148,On Hold,Classic Cars,136,S10_4757,Gifts4AllAges.com,Boston,USA,Small,Juri Yoshido
123,10103,42,128.53,4,5398.26,2018-01-29,977,Shipped,Classic Cars,147,S10_4962,Baane Mini Imports,Stavern,Norway,Medium,Jonas Bergulfsen
124,10114,31,138.88,8,4305.28,2018-04-01,916,Shipped,Classic Cars,147,S10_4962,"La Corne D'abondance, Co.",Paris,France,Medium,Marie Bertrand
125,10126,22,152.17,4,3347.74,2018-05-28,860,Shipped,Classic Cars,147,S10_4962,"Corrida Auto Replicas, Ltd",Madrid,Spain,Medium,Mart¡n Sommer
126,10140,26,122.62,4,3188.12,2018-07-24,804,Shipped,Classic Cars,147,S10_4962,Technics Stores Inc.,Burlingame,USA,Medium,Juri Hirano
127,10150,20,159.56,1,3191.2,2018-09-19,748,Shipped,Classic Cars,147,S10_4962,"Dragon Souveniers, Ltd.",Singapore,Singapore,Medium,Eric Natividad
128,10164,21,168.42,2,3536.82,2018-10-21,717,Resolved,Classic Cars,147,S10_4962,Mini Auto Werke,Graz,Austria,Medium,Roland Mendel
129,10175,33,162.51,9,5362.83,2018-11-06,702,Shipped,Classic Cars,147,S10_4962,"Stylish Desk Decors, Co.",London,UK,Medium,Ann Brown
130,10183,28,122.62,1,3433.36,2018-11-13,696,Shipped,Classic Cars,147,S10_4962,"Classic Gift Ideas, Inc",Philadelphia,USA,Medium,Francisca Cervantes
131,10194,26,163.99,4,4263.74,2018-11-25,685,Shipped,Classic Cars,147,S10_4962,"Saveley & Henriot, Co.",Lyon,France,Medium,Mary Saveley
132,10207,31,131.49,15,4076.19,2018-12-09,672,Shipped,Classic Cars,147,S10_4962,Diecast Collectables,Boston,USA,Medium,Valarie Franco
133,10217,48,146.26,4,7020.48,2019-02-04,616,Shipped,Classic Cars,147,S10_4962,Handji Gifts& Co,Singapore,Singapore,Large,Wendy Victorino
134,10229,50,128.53,9,6426.5,2019-03-11,582,Shipped,Classic Cars,147,S10_4962,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium,Valarie Nelson
135,10245,28,163.99,2,4591.72,2019-05-04,529,Shipped,Classic Cars,147,S10_4962,Super Scale Inc.,New Haven,USA,Medium,Leslie Murphy
136,10259,26,155.13,12,4033.38,2019-06-15,488,Shipped,Classic Cars,147,S10_4962,Handji Gifts& Co,Singapore,Singapore,Medium,Wendy Victorino
137,10270,32,134.44,2,4302.08,2019-07-19,455,Shipped,Classic Cars,147,S10_4962,Souveniers And Things Co.,Chatswood,Australia,Medium,Adrian Huxley
138,10281,44,159.56,9,7020.64,2019-08-19,425,Shipped,Classic Cars,147,S10_4962,Diecast Classics Inc.,Allentown,USA,Large,Kyung Yu
139,10291,30,128.53,4,3855.9,2019-09-08,406,Shipped,Classic Cars,147,S10_4962,Scandinavian Gift Ideas,Boras,Sweden,Medium,Maria Larsson
140,10305,38,175.81,13,6680.78,2019-10-13,372,Shipped,Classic Cars,147,S10_4962,Marta's Replicas Co.,Cambridge,USA,Medium,Marta Hernandez
141,10313,40,166.95,7,6678.0,2019-10-22,364,Shipped,Classic Cars,147,S10_4962,Canadian Gift Exchange Network,Vancouver,Canada,Medium,Yoshi Tannamuri
142,10322,46,61.99,8,2851.54,2019-11-04,352,Shipped,Classic Cars,147,S10_4962,Online Diecast Creations Co.,Nashua,USA,Small,Valarie Young
143,10334,26,122.62,2,3188.12,2019-11-19,338,On Hold,Classic Cars,147,S10_4962,"Volvo Model Replicas, Co",Lule,Sweden,Medium,Christina Berglund
144,10347,27,164.0,2,4428.0,2019-11-29,329,Shipped,Classic Cars,147,S10_4962,"Australian Collectors, Co.",Melbourne,Australia,Medium,Peter Ferguson
145,10357,43,134.44,9,5780.92,2019-12-10,319,Shipped,Classic Cars,147,S10_4962,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium,Valarie Nelson
146,10370,35,65.63,4,2297.05,2020-01-20,279,Shipped,Classic Cars,147,S10_4962,"Anna's Decorations, Ltd",North Sydney,Australia,Small,Anna O'Hara
147,10391,37,46.9,7,1735.3,2020-03-09,231,Shipped,Classic Cars,147,S10_4962,"Anna's Decorations, Ltd",North Sydney,Australia,Small,Anna O'Hara
148,10411,27,163.99,2,4427.73,2020-05-01,179,Shipped,Classic Cars,147,S10_4962,Quebec Home Shopping Network,Montreal,Canada,Medium,Jean Fresnisre
149,10425,38,155.13,12,5894.94,2020-05-31,150,In Process,Classic Cars,147,S10_4962,La Rochelle Gifts,Nantes,France,Medium,Janine Labrune
150,10108,33,159.55,6,5265.15,2018-03-03,971,Shipped,Classic Cars,194,S12_1099,Cruz & Sons Co.,Makati City,Philippines,Medium,Arnold Cruz
151,10122,42,180.95,10,7599.9,2018-05-08,906,Shipped,Classic Cars,194,S12_1099,Marseille Mini Autos,Marseille,France,Large,Laurence Lebihan
152,10135,42,190.68,7,8008.56,2018-07-02,852,Shipped,Classic Cars,194,S12_1099,Mini Gifts Distributors Ltd.,San Rafael,USA,Large,Valarie Nelson
153,10147,48,192.62,7,9245.76,2018-09-05,788,Shipped,Classic Cars,194,S12_1099,Collectables For Less Inc.,Brickhaven,USA,Large,Allen Nelson
154,10169,30,167.33,2,5019.9,2018-11-04,729,Shipped,Classic Cars,194,S12_1099,"Anna's Decorations, Ltd",North Sydney,Australia,Medium,Anna O'Hara
155,10181,27,200.41,14,5411.07,2018-11-12,722,Shipped,Classic Cars,194,S12_1099,Herkku Gifts,Bergen,Norway,Medium,Veysel Oeztan
156,10191,21,182.9,3,3840.9,2018-11-20,715,Shipped,Classic Cars,194,S12_1099,"Toms Spezialitten, Ltd",Koln,Germany,Medium,Henriette Pfalzheim
157,10203,20,196.52,8,3930.4,2018-12-02,704,Shipped,Classic Cars,194,S12_1099,Euro Shopping Channel,Madrid,Spain,Medium,Diego Freyre
158,10211,41,182.9,2,7498.9,2019-01-15,661,Shipped,Classic Cars,194,S12_1099,Auto Canal Petit,Paris,France,Large,Dominique Perrier
159,10225,27,167.33,9,4517.91,2019-02-22,624,Shipped,Classic Cars,194,S12_1099,"Vida Sport, Ltd",Gensve,Switzerland,Medium,Michael Holz
160,10238,28,206.24,3,5774.72,2019-04-09,579,Shipped,Classic Cars,194,S12_1099,Danish Wholesale Imports,Kobenhavn,Denmark,Medium,Jytte Petersen
161,10253,24,163.44,13,3922.56,2019-06-01,527,Cancelled,Classic Cars,194,S12_1099,"UK Collectables, Ltd.",Liverpool,UK,Medium,Elizabeth Devon
162,10266,44,208.19,14,9160.36,2019-07-06,493,Shipped,Classic Cars,194,S12_1099,L'ordine Souveniers,Reggio Emilia,Italy,Large,Maurizio Moroni
163,10276,50,192.62,3,9631.0,2019-08-02,467,Shipped,Classic Cars,194,S12_1099,Online Mini Collectables,Brickhaven,USA,Large,Miguel Barajas
164,10287,21,163.44,12,3432.24,2019-08-30,440,Shipped,Classic Cars,194,S12_1099,"Vida Sport, Ltd",Gensve,Switzerland,Medium,Michael Holz
165,10300,33,167.33,5,5521.89,2018-10-04,771,Shipped,Classic Cars,194,S12_1099,"Blauer See Auto, Co.",Frankfurt,Germany,Medium,Roland Keitel
166,10310,33,210.14,10,6934.62,2019-10-16,395,Shipped,Classic Cars,194,S12_1099,"Toms Spezialitten, Ltd",Koln,Germany,Medium,Henriette Pfalzheim
167,10320,31,221.81,3,6876.11,2019-11-03,378,Shipped,Classic Cars,194,S12_1099,"Volvo Model Replicas, Co",Lule,Sweden,Medium,Christina Berglund
168,10329,41,71.47,5,2930.27,2019-11-15,367,Shipped,Classic Cars,194,S12_1099,Land of Toys Inc.,NYC,USA,Small,Kwai Yu
169,10341,45,79.65,2,3584.25,2019-11-24,359,Shipped,Classic Cars,194,S12_1099,Salzburg Collectables,Salzburg,Austria,Medium,Georg Pipps
170,10363,33,85.39,3,2817.87,2020-01-06,317,Shipped,Classic Cars,194,S12_1099,Suominen Souveniers,Espoo,Finland,Small,Kalle Suominen
171,10375,45,76.0,7,3420.0,2020-02-03,290,Shipped,Classic Cars,194,S12_1099,La Rochelle Gifts,Nantes,France,Medium,Janine Labrune
